fragment_SMILES,length_of_fragment,fragment_scores,matched_fragments,hepg2_tox_matched_molecule_values,primary_tox_matched_molecule_values,average_hepg2_tox_score_of_matched_molecules,average_primary_tox_score_of_matched_molecules,row_num,cluster
O=C(O)C1=CN=CC=C1N1CCC2=C(F)C=C(F)C=C2C1,21,0.3339416280388832,86,[],[],,,0,11
O=C(O)C1=CN=CC=C1N1CCC2=C(F)C(F)=CC=C2C1,21,0.302750276774168,79,[],[],,,1,11
O=C(O)C1=CC=CC(CN2CCC3=C2C(F)=CC(F)=C3)=N1,21,0.3656196027994156,78,[],[],,,2,12
"O=C(NC1=CC=C(Cl)C(Cl)=C1)N[C@@H]1COC[C@H]1F |&1:12,16|",18,0.301169066876173,52,[],[],,,3,16
O=C(NC1CC2CCCN2C1)C1=CC=C(Cl)C(F)=C1O,20,0.3064798653125763,22,[],[],,,4,18
CC(C)C12CC(NC(=O)N1)C1=CC=C(Cl)C(F)=C1O2,19,0.3089231573045253,13,[],[],,,5,13
O=C(O)C1=C(CN2CCC3=C2C(F)=CC(F)=C3)C=CO1,20,0.3668779440224171,98,[],[],,,6,12
COC1=C(F)C=C(F)C=C1NC(=O)N1C2CCC1CNC2,21,0.3361792683601379,68,[],[],,,7,0
O=C(O)C1=CC=CC(CN2CCC3=C2C=C(F)C=C3F)=N1,21,0.3200984872877598,101,[],[],,,8,6
CSC1=CC(C(=O)N2CC3CC2(C(=O)O)C3)=CC=C1F,20,0.3082482151687145,11,[],[],,,9,8
CSC1=C(F)C=C(NC(=O)NC2COC2)C=C1F,18,0.3024337983690202,6,[],[],,,10,5
O=C(O)C1=CN=CC=C1N1CCC2=CC=C(F)C(F)=C2C1,21,0.3251360289752483,80,[],[],,,11,11
CSC1=C(F)C=C(NC(=O)N2C[C@@H]3C[C@H]2CN3)C=C1F,20,0.3363337265327573,17,[],[],,,12,5
O=C(O)C1=C(CN2CCC3=C2C=C(F)C(F)=C3)C=CO1,20,0.3176431372761726,92,[],[],,,13,4
O=C(O)C1=CC=NC(CN2CCC3=C2C(F)=CC(F)=C3)=C1,21,0.3655527740716934,73,[],[],,,14,12
O=C(NC12CCC(CC1)OC2)C1=C(F)C=C(Cl)C=C1O,20,0.3092025429010391,25,[],[],,,15,9
CC1=CC=C2N=CC=C(N3CC4CC3(C(=O)O)C4)C2=C1F,21,0.3169001772999763,45,[],[],,,16,1
CSC1=C(F)C=C(NC(=O)NC2CCOC2)C=C1F,19,0.3150342494249344,14,[],[],,,17,5
COCC12CC(NC(=O)N1)C1=CC(F)=CC(F)=C1O2,19,0.304620049893856,35,[],[],,,18,14
O=C(C1=CC=C(Cl)C(F)=C1O)N1C2CSCC1C2,18,0.301240349933505,53,[],[],,,19,18
COCC12CC(NC(=O)N1)C1=C(F)C=CC(Cl)=C1O2,19,0.3386314518749714,59,[],[],,,20,14
CN1C(=O)C2(CCCCC2)NC1C1=CC(F)=C(O)C(F)=C1,21,0.3101319164037704,61,[],[],,,21,17
COC1=C(F)C=C(F)C=C1NC(=O)N1CCN2CCC1C2,21,0.3158190593123436,65,[],[],,,22,0
"O=C(N[C@@H]1C[C@@H]2O[C@H]1[C@H]1C[C@@H]21)C1=C(F)C=C(Cl)C=C1O |&1:3,5,7,8,10|",20,0.3035548850893974,33,[],[],,,23,9
CC1(C)CC(NC2CCC3=C2C=C(F)C=C3C(=O)O)CO1,21,0.3016966724768281,27,[],[],,,24,7
O=C(O)C1=CC=CN=C1N1CC2(C1)CC1(CC(F)(F)C1)C2,21,0.3069581918418407,8,[],[],,,25,19
ClC1=CC=C2C(=C1Cl)OCC2NC1CNCC12CC2,19,0.3022614877671003,94,[],[],,,26,2
CSC1=CC=CC(F)=C1C(=O)N1CC2CC1(C(=O)O)C2,20,0.3305416937917471,82,[],[],,,27,8
O=C(O)[C@@H]1[C@H]2CC(NC3COC4=CC(F)=CC(F)=C43)C[C@H]21,21,0.3103440023958683,10,[],[],,,28,7
CC1=CC=C(F)C(C2=CN(C3CC3)C(=O)C(C(=O)O)=C2)=C1,21,0.3015114106237888,44,[],[],,,29,15
O=C(O)C1=C(CN2CCC3=C2C=C(F)C(F)=C3)OC=C1,20,0.3233163118362426,76,[],[],,,30,4
CSC(C)(C)C(=O)NC1COC2=CC(F)=CC(F)=C21,19,0.3051818139851093,16,[],[],,,31,7
CSC1=C(F)C=CC=C1NC(=O)N1C2CCC1CNC2,20,0.3234452065080404,70,[],[],,,32,0
CSC1=CC=C(NC(=O)N2C3CCC2COC3)C=C1F,20,0.3209932900965214,66,[],[],,,33,0
O=C(O)C1=CC(C2=CC=C(F)C(F)=C2)=CN(C2CC2)C1=O,21,0.3018202263861894,89,[],[],,,34,15
CC12CC(N3CCN(C4=CC(F)=C(O)C(F)=C4)CC3)(C1)C2,21,0.3144686974585056,34,[],[],,,35,17
O=C1NC2CC([C@@H]3CCCO3)(N1)OC1=C(F)C=C(F)C=C12,21,0.3296797670423984,42,[],[],,,36,10
O=C(NC1CCC2CCC1O2)C1=C(F)C=C(Cl)C=C1O,20,0.3236228063702583,19,[],[],,,37,9
"CSC1=C(F)C=C(NC(=O)[C@@H]2C[C@H]3CC[C@@H]2N3)C=C1F |&1:10,12,15|",20,0.3264202203601599,32,[],[],,,38,5
"C[C@]12CO[C@H](C1)[C@H](NC(=O)C1=CC=C(Cl)C(F)=C1O)C2 |&1:1,4,6|",20,0.3058020040392876,69,[],[],,,39,18
O=C1NC2CC([C@H]3CCCO3)(N1)OC1=C(F)C=C(F)C=C12,21,0.3309845805168152,43,[],[],,,40,10
O=C(O)C1=CN=CC(CN2CCC3=C2C(F)=CC(F)=C3)=C1,21,0.3376860678195953,97,[],[],,,41,12
CN(C(=O)C1=COC2=C(F)C=C(F)C=C12)C1CNCC1F,21,0.3096434623003006,40,[],[],,,42,7
"CSC1=C(F)C=CC=C1C(=O)N1C[C@@H]2C[C@H]1[C@@H]2C(=O)O |&1:13,15,16|",20,0.3069676630198955,100,[],[],,,43,8
CN1C=C(C(=O)O)C(=O)C(C2=CC=C(C3CC3)C=C2F)=C1,21,0.3710781816393137,4,[],[],,,44,1
COCC12CC(NC(=O)N1)C1=CC=C(Cl)C(F)=C1O2,19,0.3488137111067771,20,[],[],,,45,14
CSC1=C(F)C=NC=C1NC(=O)N1CC2(F)CC1C2,19,0.3609064435586333,21,[],[],,,46,3
O=C(O)C1=COC(CN2CCC3=C2C=C(F)C=C3F)=C1,20,0.312124465405941,75,[],[],,,47,4
O=C(NC1(CF)COC1)C1=CC(O)=CC(Cl)=C1Cl,18,0.3001355048269033,29,[],[],,,48,2
O=C(O)C12CC(CN3CCOC4=C(F)C(F)=CC=C43)(C1)C2,21,0.3031210117042064,0,[],[],,,49,1
CSC1=C(F)C=NC=C1NC(=O)NC1CC2(C1)CC2F,20,0.3044264819473028,51,[],[],,,50,3
O=C(O)C1=CC=C(CN2CCC3=C2C(F)=CC(F)=C3)O1,20,0.3386085510253906,84,[],[],,,51,12
CC(C)C12CC(NC(=O)N1)C1=CC(Cl)=C(F)C=C1O2,19,0.3257473342120647,41,[],[],,,52,13
O=C(NC1C2CC3COC1C3C2)C1=C(F)C=C(F)C=C1O,21,0.3256769940257072,36,[],[],,,53,9
"CSC1=CC=C(NC(=O)N[C@@H]2C[C@@H]3CC[C@H]2O3)C=C1F |&1:10,12,15|",20,0.3019692756235599,71,[],[],,,54,16
COCC12CC(NC(=O)N1)C1=CC(Cl)=CC(F)=C1O2,19,0.3233004592359066,12,[],[],,,55,14
O=C(O)C1=CN=CC=C1N1CCC2=CC(F)=CC(F)=C2C1,21,0.3335390854626894,95,[],[],,,56,11
CC1CCSC1C(=O)N1CCOC2=C(F)C=C(F)C=C21,20,0.3128122363239526,49,[],[],,,57,7
CSC1=CC=C(NC(=O)N2CN(C)C(=O)C2C)C=C1F,20,0.3001005370169878,56,[],[],,,58,3
CSC1=C(F)C=C(NC(=O)N(C)C2COC2)C=C1F,19,0.3449836712330579,5,[],[],,,59,5
O=C(O)C1=C(CN2CCC3=C2C=C(F)C=C3F)C=CO1,20,0.3287788942456245,93,[],[],,,60,4
O=C1NCC2CCC1N2C1=NC2=CC(F)=CC(F)=C2C=C1,21,0.304694752022624,46,[],[],,,61,7
O=C(O)C1=CC=NC(N2CC3=CC=CC=C3C3(CC3)C2)=C1F,22,0.31514373421669,102,[],[],,,62,19
O=C(O)C1=CC=NC(N2CC3CC2C2=CC=CC=C23)=C1F,21,0.3316845215857029,67,[],[],,,63,19
COC1=C(F)C=C(NC(=O)N2C3CCC2CNC3)C=C1F,21,0.3056512542068958,64,[],[],,,64,0
O=C(O)C1=CC=NC(CN2CCC3=C2C=C(F)C=C3F)=C1,21,0.3198187105357647,87,[],[],,,65,6
COC1=CC(F)=C(F)C=C1NC(=O)N1C2CCC1CNC2,21,0.3078097268939018,63,[],[],,,66,0
O=C(O)C1=CC=C(CN2CCC3=C2C(F)=CC(F)=C3)C=N1,21,0.3543442137539386,90,[],[],,,67,12
O=C(O)C1=CC=CC(CN2CCC3=C2C=C(F)C(F)=C3)=N1,21,0.3140138637274504,83,[],[],,,68,6
O=C(O)C1=CC(F)=C(C2=CC=NC3=C2CCO3)C(F)=C1,20,0.3324562963098287,91,[],[],,,69,1
O=C(O)C1=CC=NC(N2CC3CC4CC(C3)CC2C4)=C1F,21,0.3248631153255701,30,[],[],,,70,19
O=C(O)C1=C(F)C=CC(CN2C3CCC2CSC3)=C1F,20,0.3135652869939804,58,[],[],,,71,1
O=C(O)C1=C(CN2CCC3=C2C=C(F)C=C3F)OC=C1,20,0.3329716131091118,77,[],[],,,72,4
CSC1=C(F)C=CC=C1C(=O)N1CC2CC1(C(=O)O)C2,20,0.3474839746952057,54,[],[],,,73,8
COCC12CC(NC(=O)N1)C1=CC(Cl)=C(F)C=C1O2,19,0.3512903682887554,39,[],[],,,74,14
CC(C)C12CC(NC(=O)N1)C1=C(F)C(Cl)=CC=C1O2,19,0.3134755976498127,28,[],[],,,75,13
OC1=CC(F)=CC(F)=C1C1=CC=C(N2CCNCC2)C=C1,21,0.3002585031092167,9,[],[],,,76,17
COCC12CC(NC(=O)N1)C1=C(F)C(Cl)=CC=C1O2,19,0.3577939175069332,48,[],[],,,77,14
O=C(O)C1=CC=NC(N2CCC(C34CC(C3)C4)C2)=C1F,20,0.3358444332145154,57,[],[],,,78,19
O=C(O)C1=C(CN2CCC3=C2C(F)=CC(F)=C3)OC=C1,20,0.3721234858036041,88,[],[],,,79,12
"CSC1=C(F)C=CC=C1NC(=O)N[C@@H]1COC[C@H]1F |&1:13,17|",19,0.3100983979180455,26,[],[],,,80,16
O=C(O)C1=COC(CN2CCC3=C2C=C(F)C(F)=C3)=C1,20,0.3131009176373481,81,[],[],,,81,4
CSC1=CC=C(NC(=O)N2C3CCC2CNC3)C=C1F,20,0.3411917457357049,55,[],[],,,82,0
CSC1=C(F)C=CC=C1C(=O)N1CC2(C(=O)O)CC1C2,20,0.3213989101350307,7,[],[],,,83,8
O=C(NC1=C(F)C(O)=C(F)C=C1)C12CC(CN1C1CC1)C2,21,0.3270957127213478,60,[],[],,,84,1
O=C(NC1CC2CCCN2C1)C1=C(F)C=C(Cl)C=C1O,20,0.3189920924603939,18,[],[],,,85,9
"O=C(N[C@@H]1COC[C@H]1F)C1=CC(O)=CC(Cl)=C1Cl |&1:3,7|",18,0.328921140730381,47,[],[],,,86,2
O=C(O)C12CC(CN3CCOC4=CC(F)=C(F)C=C43)(C1)C2,21,0.3744652695953846,23,[],[],,,87,1
"CSC1=CC=C(NC(=O)N[C@@H]2COC[C@H]2F)C=C1F |&1:10,14|",19,0.306087145768106,1,[],[],,,88,16
CSC1=C(F)C=CC=C1NC(=O)N1CN(C)C(=O)C1C,20,0.3005792632699012,15,[],[],,,89,3
CSC1=C(F)C=C(NC(=O)C23CCC(CC2)N3)C=C1F,20,0.361287460848689,3,[],[],,,90,5
"CSC1=CC=C(NC(=O)N[C@@H]2C[C@@H]3CC[C@H]2N3)C=C1F |&1:10,12,15|",20,0.3017976824194193,50,[],[],,,91,16
COCC12CC(NC(=O)N1C)C1=CC(F)=CC(F)=C1O2,20,0.3094599388539791,62,[],[],,,92,10
O=C(O)C1=CC=C(CN2CCC3=C2C=C(F)C(F)=C3)C=N1,21,0.3026090383529663,99,[],[],,,93,6
O=C(O)C1=CC=C(CN2CCC3=C2C=C(F)C=C3F)C=N1,21,0.3193619467318058,85,[],[],,,94,6
"CSC1=C(F)C=C(NC(=O)[C@@H]2C[C@@H]3CC[C@H]2N3)C=C1F |&1:10,12,15|",20,0.3318082895129919,31,[],[],,,95,5
OC1=C(F)C=C(N2CCN(C3CC4CC3C4)CC2)C=C1F,21,0.32330177500844,2,[],[],,,96,17
CSC1=C(F)C=C(NC(=O)NC2(C)COC2)C=C1F,19,0.3184360895305872,38,[],[],,,97,5
O=C(NC1CC2CCC(C1)O2)C1=C(F)C=C(Cl)C=C1O,20,0.3187179744243621,37,[],[],,,98,9
O=C(O)C1=CC(C2=CC=C(F)C=C2F)=CN(C2CC2)C1=O,21,0.3416099701076746,72,[],[],,,99,15
O=C(O)C1=COC(CN2CCC3=C2C(F)=CC(F)=C3)=C1,20,0.354449500888586,74,[],[],,,100,12
O=C(O)C1=CC(C2=CC(F)=CC=C2F)=CN(C2CC2)C1=O,21,0.3315897602587938,96,[],[],,,101,15
