matched_fragments,fragment_SMILES,length_of_fragment,matched_molecules,number_of_matched_molecules,fragment_scores,full_molecule_scores,average_molecule_score
23157,CNC1=NC=CS1,7,"[29, 31, 169, 227, 235, 652, 661, 670, 716, 754, 763, 769, 770, 846, 866, 872, 879, 938, 968, 990, 992, 994, 996, 1021, 1049, 1054, 1236, 1395, 1585, 1610, 1624, 1691, 1717, 1735, 2058, 2068, 2076, 2087, 2091, 2094, 2096, 2102, 2126, 2127, 2128, 2129, 2131, 2139, 2243, 2249, 2250, 2257, 2258, 2269, 2345, 2396, 2423, 2438, 2451, 2557, 2582, 2596, 2617, 2698, 2752, 2772, 2819, 2846, 3052, 3073, 3150, 3156, 3172, 3173, 3316, 3324, 3383, 3425, 3439, 3443, 3447, 3465, 3771, 3811, 3825, 3902, 3960, 3966, 3975, 3976, 3985, 3987, 3988, 3989, 3990, 3991, 3994, 3995, 3996, 3997, 4006, 4007, 4008, 4009, 4015, 4016, 4160, 4162, 4185, 4186, 4199, 4202, 4235, 4245, 4246, 4297, 4307, 4396, 4441, 4443, 4608, 4729, 4823, 4825, 4906, 4928, 5016, 5053, 5066, 5086, 5168, 5197, 5411, 5433, 5440, 5462, 5478, 5487, 5583, 5590, 5601, 5689, 5777, 5782, 5784, 5838, 5916, 5924, 5943, 5948, 5973, 6022, 6066, 6069, 6094, 6110, 6114, 6231, 6266]",159,0.2135305667296052,"[0.3884902316331863, 0.4377731198072433, 0.4725788968801498, 0.5242390471696854, 0.317874666005373, 0.637707596719265, 0.3259191475715488, 0.3814893473684788, 0.3914345960319042, 0.330148087888956, 0.4041581018269062, 0.4548145043104887, 0.6765064090490341, 0.4290072959661484, 0.4034609559178352, 0.3009281665459275, 0.4788749611377716, 0.7447207027673721, 0.3990008941292762, 0.3376491627097129, 0.3334925818443298, 0.3696117955446243, 0.3493877297639847, 0.3608579495549202, 0.3831009247899055, 0.4190262161195278, 0.307138580083847, 0.3254595361277461, 0.3611753585375845, 0.6340445172786713, 0.3843458251655102, 0.7364785176515579, 0.5315233401954174, 0.6802967196702957, 0.3279723506515438, 0.4038253876566887, 0.3272560150921345, 0.5488280738890171, 0.3474330130219459, 0.3118593080341816, 0.5443866962194442, 0.306880376636982, 0.4577550879120827, 0.4813323469460011, 0.5254819637537003, 0.3347876337170601, 0.3418742556869983, 0.329787563085556, 0.3016172694414854, 0.3858721905946731, 0.389802992939949, 0.4521000808477401, 0.3635074457526207, 0.4673746001720428, 0.3430383532680571, 0.3880080576986074, 0.4607176075875759, 0.385317504145205, 0.7041953480243683, 0.4583776299655437, 0.4044416156411171, 0.6245047876238823, 0.4900559142231941, 0.3014545843750238, 0.3326051068305969, 0.3419827623665333, 0.3418887090682983, 0.3278383775055408, 0.3686655579507351, 0.7005540889501571, 0.3935113490372896, 0.4904377490282058, 0.5670866239070892, 0.5702607893943786, 0.3782151743769645, 0.4980112355947494, 0.818511638045311, 0.3296484160423278, 0.3286118814349174, 0.4181759369373321, 0.3696257226169109, 0.6777965822815895, 0.371896106749773, 0.5308845767378807, 0.3129829569160938, 0.3974073237180709, 0.4487951010465622, 0.4064918917417526, 0.447851510643959, 0.5272015711665153, 0.4412107470631599, 0.397282001376152, 0.304236052930355, 0.350788722038269, 0.3828983724117279, 0.3227867910265922, 0.4377747339010238, 0.3441397304832935, 0.3686622321605682, 0.450542896091938, 0.3331752263009548, 0.3940035492181778, 0.4792263761162758, 0.3544410787522792, 0.4024812802672386, 0.3248685549199581, 0.3301044233888388, 0.357358259409666, 0.397899779677391, 0.4871753749251366, 0.390366241633892, 0.3034479069709778, 0.3996387180685997, 0.3474356561899185, 0.3592370446026325, 0.4288955301046371, 0.30580691665411, 0.3170147882401943, 0.325497373342514, 0.3645555624365806, 0.3291881561279297, 0.4672407746315002, 0.3524016425013542, 0.3666134562343359, 0.3224833062291145, 0.4013407699763774, 0.3085858553647995, 0.3687706340849399, 0.3552759857475757, 0.5063064610958099, 0.3917165091633797, 0.4099204212427139, 0.41921740680933, 0.3492163023352623, 0.4633557838201523, 0.300542885363102, 0.3092204742133617, 0.3359376288950443, 0.3253452244400978, 0.3042791587114334, 0.3057454937696457, 0.3043124900758266, 0.3052954184636474, 0.3930886559188365, 0.515705184340477, 0.6464999049901963, 0.658140218257904, 0.364141733199358, 0.4450293749570846, 0.4662971752882003, 0.3450849333405494, 0.405156552195549, 0.3370993259549141, 0.6036388063430786, 0.416234321296215, 0.3687090420722961, 0.3505065110325813, 0.3718156307935715, 0.3028823975007981]",0.4133005924901858
28731,CNC1=CC=C(C(F)(F)F)C=C1,12,"[76, 132, 833, 956, 1132, 2758, 3226, 3231, 3235, 3237, 3238, 3241, 3243, 3247, 3252, 3254, 3257, 3258, 3266, 3269, 3272, 3281, 3401, 3683, 3688, 3714, 3726, 3736, 3742, 3820, 4077, 4085, 4086, 4087, 4112, 4504, 4509, 4524, 4570, 4574, 4636, 4884, 4971, 5021, 5149, 5217, 5402, 5417, 5461, 5491, 5653, 5663, 5665, 5669, 5684, 5747, 5803, 5807, 5899, 5953, 6029, 6037, 6066, 6086, 6111, 6155, 6156, 6157, 6161, 6163, 6225, 6236, 6277, 6279, 6284, 6311, 6340, 6375]",78,0.2317422131076455,"[0.3294391995668411, 0.3843697693943977, 0.4004465325176716, 0.3182256242632866, 0.3617624671757221, 0.5577141949534417, 0.6673664689064026, 0.6252238501608371, 0.5286533864960075, 0.7799795681238174, 0.6679153019189834, 0.4397411874867976, 0.6230457596480846, 0.5888951356709003, 0.5838216683268547, 0.668161207139492, 0.5106436688452959, 0.4404571870341897, 0.7736136293411255, 0.5196262534707785, 0.6549679663777351, 0.4391077483259141, 0.4105398359894752, 0.3581869442760944, 0.3333560143411159, 0.3171759933233261, 0.3848152138292789, 0.3480476224422454, 0.348492307215929, 0.3141205990314483, 0.6051170754432679, 0.3131779155135155, 0.3490034157037735, 0.3225201833248138, 0.3966980600357055, 0.3268929268419742, 0.4102987280488014, 0.4653845036029815, 0.6773712068796158, 0.5541432070732116, 0.4974900287389755, 0.3082683530449867, 0.3332587879896164, 0.3231978547573089, 0.4404856094717979, 0.3114789731800556, 0.4599641722440719, 0.3125035837292671, 0.3115451979637146, 0.5940071685612202, 0.3823503038287162, 0.5717295532673597, 0.566728280633688, 0.4022209870815277, 0.3062062744610012, 0.3507238140702247, 0.6330194282531738, 0.3336339999735355, 0.4386556738615036, 0.3259737549722195, 0.3500956083834171, 0.4595794785022735, 0.3370993259549141, 0.3233411976695061, 0.3436838060617447, 0.7637559792399407, 0.4429505744576454, 0.6128375016152858, 0.3024882914125919, 0.5521587635204196, 0.7583539536595345, 0.4303390482068062, 0.5302334141731262, 0.6888787221908569, 0.390835256576538, 0.439843833297491, 0.5329028609395027, 0.3202258163690567]",0.46002006103045845
6433,CNC(=O)NC1=CC=C(Cl)C(Cl)=C1,13,"[64, 83, 84, 405, 434, 438, 677, 687, 727, 878, 1013, 1208, 1472, 1617, 1649, 1717, 1729, 1743, 1772, 1893, 2082, 2197, 2216, 2376, 2474, 2512, 2555, 2557, 2619, 2642, 2647, 2702, 2721, 2785, 2795, 2811, 3011, 3051, 3077, 3338, 3350, 3399, 3419, 3811, 4433, 4698, 5049, 5404, 5406, 5412, 5416, 5420, 5781, 6074, 6138, 6261]",56,0.2351713802153244,"[0.4876297825574875, 0.4073721832036972, 0.4150972194969654, 0.4603087964653969, 0.5881487452983856, 0.4109469169378281, 0.3822022457420826, 0.4996564865112304, 0.3515712559223175, 0.3314358030259609, 0.5553442060947418, 0.3807075083255767, 0.4324942514300346, 0.5996908891201019, 0.3701044896245002, 0.5315233401954174, 0.5329498818516731, 0.4939736732840538, 0.3147705692797899, 0.3186889566108584, 0.3222011233866215, 0.4137996500730515, 0.4498704952001571, 0.3786552821099758, 0.3934523156285286, 0.3612638358771801, 0.4187257142364979, 0.4583776299655437, 0.408262554705143, 0.4427644331753254, 0.5360698434710502, 0.4100408101081848, 0.3674243132770061, 0.3283575179427862, 0.3363015678524971, 0.5119772896170616, 0.3847500637173652, 0.3839588182047009, 0.3530600414425134, 0.315846217572689, 0.3638906334340572, 0.3871211314201355, 0.5629721730947495, 0.5308845767378807, 0.329511234164238, 0.4708296644687653, 0.357575045377016, 0.3524668137729168, 0.4003905045986176, 0.3033653074502945, 0.3300429853796959, 0.3669974186271429, 0.373839994519949, 0.4516181606054306, 0.3122747199982404, 0.4390156924724578]",0.4137959424047065
23291,CNC1=CC=C(F)C(Cl)=C1,10,"[49, 91, 225, 418, 652, 779, 856, 938, 1297, 1355, 1731, 2304, 2640, 3068, 3069, 3148, 3222, 3973, 3999, 4012, 4296, 4454, 4461, 4468, 4471, 4481, 4483, 4486, 4505, 4510, 4512, 4517, 4525, 4632, 4876, 4880, 4887, 4889, 5156, 5179, 5424, 5526, 5629, 5724, 5806, 5916, 6082, 6097, 6273, 6293]",50,0.2610926619172096,"[0.4299478089809417, 0.4020566514134407, 0.4816517215967178, 0.3364420348778367, 0.637707596719265, 0.3525507180392742, 0.3213784085214138, 0.7447207027673721, 0.5851250460743904, 0.3266857058182358, 0.3021802154183388, 0.3066996112465858, 0.3725774736702442, 0.4073458382487297, 0.3145793199539184, 0.4949739837646484, 0.5577144402265549, 0.327591394931078, 0.3560701286792755, 0.3841083136200904, 0.4396608951687812, 0.3926756334304809, 0.4694688010215759, 0.6132217329740525, 0.408038350045681, 0.4189653545618057, 0.4605092337727546, 0.3964366486668587, 0.4464301770925521, 0.3850800487399101, 0.453857418000698, 0.45923663854599, 0.4380694216489791, 0.5473179179430008, 0.4291006332635879, 0.333110459446907, 0.330893122702837, 0.3229727382957935, 0.4404606130719184, 0.4260760027170181, 0.4230211183428764, 0.324576331526041, 0.4025305797159672, 0.3909146910905838, 0.3718825578689575, 0.658140218257904, 0.324115026295185, 0.5061899983882904, 0.3181763925403356, 0.4466532778739929]",0.4243977829515934
19742,NC(=O)C1=CC=C(Cl)C(Cl)=C1,11,"[613, 875, 918, 1057, 1104, 1160, 1367, 1417, 1596, 1713, 1787, 1789, 1798, 1828, 1895, 1929, 2174, 2175, 2176, 2362, 2455, 2473, 2829, 2850, 3393, 3475, 3517, 3581, 3676, 4178, 4280, 4560, 4631, 4674, 4748, 4999, 5603, 5792, 5984, 6057, 6118, 6240]",42,0.2623834887146949,"[0.555994657278061, 0.4205136322975158, 0.321345281638205, 0.4538149926066399, 0.4856814378499984, 0.4626721641421318, 0.3243197887390852, 0.333804934322834, 0.4902372482419014, 0.4446374216675758, 0.3151134783029556, 0.3291887900233268, 0.3445911635830998, 0.3577587175369263, 0.7019805371761322, 0.3757353341579437, 0.3584921734035015, 0.3210327513515949, 0.4734206447005272, 0.3909953705966472, 0.3797966645658016, 0.4762529704719782, 0.3175445058941841, 0.3558810615539551, 0.6613396495580673, 0.3044667067751288, 0.3476486721634865, 0.3580348628759384, 0.5688646066188813, 0.3314539034664631, 0.3201929496228695, 0.5006607256829738, 0.3609933570027351, 0.3555077789723873, 0.3833892124891281, 0.6581358504295349, 0.353159292191267, 0.4156223711371422, 0.5683379334211349, 0.3257657817006111, 0.3603801651298999, 0.3305037708580494]",0.4117919836237671
6017,CC(=O)NCC1=CC=C(Cl)C(Cl)=C1,13,"[1102, 1503, 1602, 1613, 2270, 2380, 3028, 3554, 3682, 3725, 3851, 3913, 3915, 3916, 3918, 3919, 4084, 4136, 4175, 4191, 4194, 4195, 4196, 4232, 5499, 5671, 5740, 5812, 5883, 5889, 6227, 6228, 6283, 6349]",34,0.3314020337164402,"[0.3861054185032844, 0.4645033404231071, 0.5400687250494957, 0.3820726455748081, 0.3178873468935489, 0.3398522244393825, 0.4695964843034744, 0.515631311237812, 0.7897262406349183, 0.309844898879528, 0.4606616857647896, 0.5554955422878265, 0.5720695811510086, 0.6396620059013367, 0.4527249535918236, 0.5622388899326325, 0.3993646609783172, 0.3193905773758888, 0.4001979714632034, 0.4686597794294357, 0.6085805714130401, 0.5927891123294831, 0.500053521990776, 0.3479795125126839, 0.3301366555690765, 0.7926283293962478, 0.8073208594322204, 0.3138222078233957, 0.7938180834054946, 0.3464351014792919, 0.8045399701595306, 0.7930708473920822, 0.7862992388010025, 0.7805974704027175]",0.5277595813506667
15139,CC(CO)N(C)C(=O)NC1=CC=C(C(F)(F)F)C=C1,19,"[3226, 3231, 3235, 3237, 3238, 3241, 3243, 3247, 3252, 3254, 3257, 3258, 3266, 3269, 3272, 3281, 5491, 5663, 5665, 5803, 6155, 6156, 6157, 6163, 6225, 6277, 6279, 6340]",28,0.2556610509753227,"[0.6673664689064026, 0.6252238501608371, 0.5286533864960075, 0.7799795681238174, 0.6679153019189834, 0.4397411874867976, 0.6230457596480846, 0.5888951356709003, 0.5838216683268547, 0.668161207139492, 0.5106436688452959, 0.4404571870341897, 0.7736136293411255, 0.5196262534707785, 0.6549679663777351, 0.4391077483259141, 0.5940071685612202, 0.5717295532673597, 0.566728280633688, 0.6330194282531738, 0.7637559792399407, 0.4429505744576454, 0.6128375016152858, 0.5521587635204196, 0.7583539536595345, 0.5302334141731262, 0.6888787221908569, 0.5329028609395027]",0.5985277209923202
15138,C[C@@H](CO)N(C)C(=O)NC1=CC=C(C(F)(F)F)C=C1,19,"[3226, 3231, 3235, 3237, 3238, 3241, 3243, 3247, 3252, 3254, 3257, 3258, 3266, 3269, 3272, 3281, 5491, 5663, 5665, 5803, 6155, 6156, 6157, 6163, 6225, 6277, 6279, 6340]",28,0.2608968715928494,"[0.6673664689064026, 0.6252238501608371, 0.5286533864960075, 0.7799795681238174, 0.6679153019189834, 0.4397411874867976, 0.6230457596480846, 0.5888951356709003, 0.5838216683268547, 0.668161207139492, 0.5106436688452959, 0.4404571870341897, 0.7736136293411255, 0.5196262534707785, 0.6549679663777351, 0.4391077483259141, 0.5940071685612202, 0.5717295532673597, 0.566728280633688, 0.6330194282531738, 0.7637559792399407, 0.4429505744576454, 0.6128375016152858, 0.5521587635204196, 0.7583539536595345, 0.5302334141731262, 0.6888787221908569, 0.5329028609395027]",0.5985277209923202
15137,C[C@H](CO)N(C)C(=O)NC1=CC=C(C(F)(F)F)C=C1,19,"[3226, 3231, 3235, 3237, 3238, 3241, 3243, 3247, 3252, 3254, 3257, 3258, 3266, 3269, 3272, 3281, 5491, 5663, 5665, 5803, 6155, 6156, 6157, 6163, 6225, 6277, 6279, 6340]",28,0.2671118029300123,"[0.6673664689064026, 0.6252238501608371, 0.5286533864960075, 0.7799795681238174, 0.6679153019189834, 0.4397411874867976, 0.6230457596480846, 0.5888951356709003, 0.5838216683268547, 0.668161207139492, 0.5106436688452959, 0.4404571870341897, 0.7736136293411255, 0.5196262534707785, 0.6549679663777351, 0.4391077483259141, 0.5940071685612202, 0.5717295532673597, 0.566728280633688, 0.6330194282531738, 0.7637559792399407, 0.4429505744576454, 0.6128375016152858, 0.5521587635204196, 0.7583539536595345, 0.5302334141731262, 0.6888787221908569, 0.5329028609395027]",0.5985277209923202
10606,CNC(=O)C(C)OC1=CC=C(Cl)C=C1Cl,15,"[31, 228, 398, 419, 420, 421, 422, 424, 982, 1446, 1967, 2471, 3295, 3607, 3789, 4692, 5873, 5942, 5944, 6014, 6333]",21,0.2003232234716415,"[0.4377731198072433, 0.4493396613001823, 0.3187223551422357, 0.4686730444431305, 0.323317556232214, 0.4750611618161201, 0.3219100420176983, 0.3483161886036396, 0.4058341780304909, 0.4780988770723343, 0.3089317707717419, 0.4445905268192291, 0.3496227806806564, 0.3499646428227425, 0.384137629121542, 0.4140363307297229, 0.4311390218138695, 0.3731618511676788, 0.4787228080630302, 0.3841320031881332, 0.5223970183730126]",0.40323250323888804
