matched_fragments,fragment_SMILES,length_of_fragment,matched_molecules,number_of_matched_molecules,fragment_scores,full_molecule_scores,average_molecule_score
327209,C(C1=CNC=C1)C1=CC=CC=C1,12,"[760, 782, 1627, 2023, 2097, 3662, 9516, 9520, 9527, 9530, 11068, 13689, 13692, 13696, 13699, 24188, 24189, 24190, 24191, 24242, 24243, 24245, 24246, 24247, 24248, 24249, 24250, 24251, 24252, 24253, 24254, 24255, 24257, 24258, 24259, 24266, 24267, 24268, 24269, 24270, 24277, 24278, 24280, 24291, 29031, 29033, 29096, 29097, 29098, 29099, 29100, 29101, 29199, 29200, 29201, 29254, 29503, 29710, 31143, 31649, 31679, 31680, 63272, 63273, 63276]",65,0.0642756665067281,"[0.2921388417482376, 0.2420136604458093, 0.2005157321691513, 0.2468984983861446, 0.2473115302622318, 0.2012329246848821, 0.2709223531186581, 0.2219021722674369, 0.2237286925315857, 0.2608351305127144, 0.210689865425229, 0.2709223546087742, 0.2219021722674369, 0.2237286925315857, 0.2608351349830627, '0.3058666981756687', '0.2282904352992773', '0.2766882169991732', '0.2486928410828113', '0.2207864113152027', '0.2653353668749332', '0.2875335320830345', '0.2931712925434112', '0.2433903396129608', '0.2667155280709267', '0.2219623323529958', '0.2613448265939951', '0.2331270810216665', '0.271692068874836', '0.2539931684732437', '0.3052649423480034', '0.2370437413454055', '0.2496025562286377', '0.243419624865055', '0.2966672003269195', '0.2764435406774282', '0.2142694287002086', '0.2116217222064733', '0.2783121109008789', '0.2471636556088924', '0.2113197647035122', '0.2563032113015652', '0.2013007786124944', '0.229819132015109', '0.3324514605104923', '0.2921388380229473', '0.3318915985524654', '0.2495996609330177', '0.3447964929044246', '0.2036140389740467', '0.2048020213842392', '0.3721086509525776', '0.2503406230360269', '0.2218701314181089', '0.3653789438307285', '0.2420136582106352', '0.2059652857482433', '0.2021574944257736', '0.2256655104458332', '0.208867685124278', '0.2108431737869978', '0.2590234912931919', '0.2408371344208717', '0.2188750475645065', '0.2068576291203498']",0.25112027501257567
198776,C(C1=CNC2=C1C=CC=C2)C1=CC=CC=C1,16,"[3662, 9516, 9520, 9527, 9530, 11068, 13689, 13692, 13696, 13699, 24188, 24189, 24190, 24191, 24242, 24243, 24245, 24246, 24247, 24248, 24249, 24250, 24251, 24252, 24253, 24254, 24255, 24257, 24258, 24259, 24266, 24267, 24268, 24269, 24270, 24277, 24278, 24280, 24291, 31143, 31649, 31679, 31680, 63272, 63273, 63276]",46,0.0519326913054101,"[0.2012329246848821, 0.2709223531186581, 0.2219021722674369, 0.2237286925315857, 0.2608351305127144, 0.210689865425229, 0.2709223546087742, 0.2219021722674369, 0.2237286925315857, 0.2608351349830627, '0.3058666981756687', '0.2282904352992773', '0.2766882169991732', '0.2486928410828113', '0.2207864113152027', '0.2653353668749332', '0.2875335320830345', '0.2931712925434112', '0.2433903396129608', '0.2667155280709267', '0.2219623323529958', '0.2613448265939951', '0.2331270810216665', '0.271692068874836', '0.2539931684732437', '0.3052649423480034', '0.2370437413454055', '0.2496025562286377', '0.243419624865055', '0.2966672003269195', '0.2764435406774282', '0.2142694287002086', '0.2116217222064733', '0.2783121109008789', '0.2471636556088924', '0.2113197647035122', '0.2563032113015652', '0.2013007786124944', '0.229819132015109', '0.2256655104458332', '0.208867685124278', '0.2108431737869978', '0.2590234912931919', '0.2408371344208717', '0.2188750475645065', '0.2068576291203498']",0.2451045807370025
326791,C(C1=CNC=C1)C1=CNC=C1,11,"[3343, 9516, 9520, 9527, 9530, 11068, 13689, 13692, 13696, 13699, 29498, 31143, 31649, 31679, 31680]",15,0.0675838252092944,"[0.2801198996603489, 0.2709223531186581, 0.2219021722674369, 0.2237286925315857, 0.2608351305127144, 0.210689865425229, 0.2709223546087742, 0.2219021722674369, 0.2237286925315857, 0.2608351349830627, '0.2220977552235126', '0.2256655104458332', '0.208867685124278', '0.2108431737869978', '0.2590234912931919']",0.2381389389187097
147573,CCCNC1=CC(OC)=C(Cl)C=C1OC,15,"[3263, 8273, 8686, 9301, 9889, 10087, 12853, 13235, 13574, 20085, 20822, 22790, 29881, 30928]",14,0.0881854100618511,"[0.2803342677652836, 0.2286634303629398, 0.2851825818419456, 0.2156367421150207, 0.2170461863279342, 0.2496409468352794, 0.2170461878180503, 0.2851825803518295, 0.2156367421150207, '0.24964094907045364', '0.3024671651422977', '0.252996663749218', '0.2429924339056015', '0.228663432598114']",0.247937879285642
327129,CC1CN2C(CC2=O)S1(=O)=O,11,"[2420, 11404, 14566, 14569, 14631, 14633, 14634, 14642, 31713, 62918]",10,0.061347087737613,"[0.5304279872449115, 0.3757471784949303, '0.5304279887350276', '0.5358135548071005', '0.4216648932546377', '0.2867100623319857', '0.3201776087051257', '0.2968491464853287', '0.7067959770560265', '0.5419104849570431']",0.4546524882072117
303653,CC1=NNC=C1CC1=CC=C(O)C=C1,14,"[879, 905, 8987, 10902, 12605, 19342, 27626, 30782, 33024, 33043]",10,0.0576128444867208,"[0.2585983537137508, 0.2643651124089956, 0.2140797510743141, 0.2140797458589077, 0.2049837633967399, '0.2026363782584667', '0.200897054746747', '0.2148124549537897', '0.22338275462388993', '0.22617615014314651']",0.2224011519178748
81079,CC1=NOC=C1NC(=O)NC1=CC=C(Cl)C=C1,17,"[666, 3911, 4540, 4586, 30115, 30582, 30626]",7,0.0552199619356542,"[0.2129952449351549, 0.3167380452156066, 0.344888149946928, 0.2129952546209096, '0.3167380236089229', '0.34488814473152163', '0.21299524493515493']",0.2803197297134569
327210,C(C1=CC=CN1)C1=CC=CC=C1,12,"[2023, 2059, 2097, 24947, 25095]",5,0.0548671183816622,"[0.2468984983861446, 0.2566208630800247, 0.2473115302622318, '0.2566208615899086', '0.2514962136745453']",0.251789593398571
214578,CNC1=CC=C(C=C1)C12CCCC(CCC1)C2,17,"[7846, 12250, 31654]",3,0.108779421262443,"[0.2325235158205032, 0.2325235158205032, '0.232104168087244']",0.23238373324275016
328103,OC1=CC=CC=C1CC1=CC=CN1,13,"[2059, 24947, 25095]",3,0.0749275957001373,"[0.2566208630800247, '0.2566208615899086', '0.2514962136745453']",0.25491264611482617
