matched_fragments,fragment_SMILES,length_of_fragment,matched_molecules,number_of_matched_molecules,fragment_scores,full_molecule_scores,average_molecule_score
13005,CN1C=C(CNC2=CC=C(F)C(Cl)=C2)C=CC1=O,18,[7275],1,0.3753805792331695,[0.5794978594779968],0.5794978594779968
7198,CN1C=CC(C(=O)NC2=CC=CC(Cl)=C2Cl)=N1,17,[1641],1,0.2891204062104225,[0.6815691345930099],0.6815691345930099
9865,CNCC1CCN(C2=CC=NC3=CC(Cl)=CC=C23)C1,19,[8346],1,0.2638384926319122,[0.5275032687187194],0.5275032687187194
5090,CN1C=C(C(=O)NC2=CC=C(Cl)C(Cl)=C2)C=CC1=O,19,[7274],1,0.4070932704210281,[0.5374138832092286],0.5374138832092286
377,CC(SC1=CC=C(Cl)C(Cl)=C1)C(N)=O,14,[6414],1,0.2968355777114629,[0.538471763432026],0.538471763432026
1273,N[C@@H]1CCN(C2=CC=NC3=C(C(F)(F)F)C=CC=C23)C1,20,[3214],1,0.253646462932229,[0.5413200590014458],0.5413200590014458
1274,NC1CCN(C2=CC=NC3=C(C(F)(F)F)C=CC=C23)C1,20,[3214],1,0.3588413794338703,[0.5413200590014458],0.5413200590014458
1275,N[C@H]1CCN(C2=CC=NC3=C(C(F)(F)F)C=CC=C23)C1,20,[3214],1,0.31777457755059,[0.5413200590014458],0.5413200590014458
1303,CC1=NN(CC2=CC=C(Cl)C(Cl)=C2)C(=O)C=C1,17,[6515],1,0.301956559382379,[0.5536551660299301],0.5536551660299301
2131,O=C(NCC1=CC=CC(Cl)=C1)C1=CC=CC=C1O,18,[1538],1,0.2739362108707428,[0.5270027387142181],0.5270027387142181
2306,FC(F)(F)C1=CC=C2N=CC=C(N3CCNCC3)C2=C1,20,[6603],1,0.5526058267056942,[0.5171751563251018],0.5171751563251018
2785,O=C(NCC1=CC=C(F)C(Cl)=C1)C1=CN=CS1,17,[3090],1,0.2753931883722543,[0.555037853717804],0.555037853717804
2877,NCC1CCN(C2=CC=NC3=CC(Cl)=CC=C23)C1,18,[8346],1,0.2900408934056759,[0.5275032687187194],0.5275032687187194
3545,O=C1C=CC=NN1CC1=CC=C(Cl)C(Cl)=C1,16,[6515],1,0.4101667758822441,[0.5536551660299301],0.5536551660299301
3560,CCC(=O)NCC1=CC=C(O)C(Cl)=C1,14,[7682],1,0.2911823141947389,[0.5013001483678817],0.5013001483678817
4111,ClC1=CC=C2C(N3CCOCC3)=CC=NC2=C1,17,[3599],1,0.2983511611819267,[0.5169512760639191],0.5169512760639191
5152,O=C(O)C1=CN=C(N2CCC(C3CC3)C2)C(Cl)=C1,18,[8264],1,0.3612938103079796,[0.7877792501449585],0.7877792501449585
9832,COC(=O)NCCC1=CC=C(Cl)C(Cl)=C1,15,[1736],1,0.2675017914921045,[0.6947152239084243],0.6947152239084243
5237,O=C(NCC1=CC=C(Cl)C=C1)C1=CC=CC=C1O,18,[1538],1,0.3722177068889141,[0.5270027387142181],0.5270027387142181
5240,CC(=O)NCC1=CC=C(O)C(Cl)=C1,13,[7682],1,0.3358284978568553,[0.5013001483678817],0.5013001483678817
