,SA_Activity,SMILES,Compound_ID
213,0.0,NNC(=O)c1cccc(c1)Cn1cccn1,BRD-K12638018
214,0.0,COC(=O)CCC1=C(C)NC(=S)NC1=O,BRD-K45471681
215,0.0,NNC(=O)[C@H]1[C@@H](C1c1ccccc1)C(=O)NN,BRD-A09994978
216,0.0,O=C(CN1C(=O)CSC1=O)N1CCCC1,BRD-K19990343
217,0.0,O=C1N=CNc2nn(nc21)-c1ccccc1,BRD-K25073859
218,0.0,C=CCN1C(=O)[C@H]2[C@H]3C[C@@H](C=C3)[C@@H]2C1=O,BRD-A46796005
219,0.0,CC(C)(CCN1CCOCC1)NC(=O)C=C,BRD-K76980120
220,0.0,Cc1ccccc1N1C=CC(=O)NC1=O,BRD-K96084341
221,0.0,O=S(=O)(Nn1cnnc1)c1ccccc1,BRD-K66351637
222,0.0,CCCCC1C(=O)NC(=S)NC1=O,BRD-K62166110
223,0.0,CN(C(=O)C)c1nc(n(n1)-c1ccccc1)N,BRD-K71131721
224,0.0,CC(=O)ON1C(C)(C)C=C(C(=O)N)C1(C)C,BRD-K93710771
225,0.0,CC(=O)N[C@H]1C(=O)Nc2ccc(cc21)F,BRD-A95937779
226,0.0,OCCN1C(=O)Nc2ccsc2C1=O,BRD-K48525335
227,0.0,Fc1ccc(cc1)N1N=C2NCCCN2C1=O,BRD-K81438049
228,0.0,CC[C@@H](NC1=NNC(=O)NC1=O)C(=O)OC,BRD-A80519968
229,0.0,CCOC(=O)CC1=NNC(=N)SC1,BRD-K84429810
230,0.0,CCC1=C(C)Nc2c(cnn2C1=O)C#N,BRD-K45131196
231,0.0,NC(=O)N1CCC(=O)Nc2ccccc21,BRD-K52739079
232,0.0,Cc1ccc(c(c1)Br)OCCN,BRD-K94842462
233,0.0,Nc1nonc1C(=O)NCc1ccco1,BRD-K11674985
234,0.0,Cc1ccc(cc1)C(N)(CC=C)CC=C,BRD-K24738724
235,0.0,CCOC1=Nc2c(ncn2C)C(=O)N1C,BRD-K74782322
236,0.0,O=C1NC=C(COCc2ccccc2)C(=O)N1,BRD-K07068626
237,0.0,CSC1=NN1c1cc(nc(n1)N)C,BRD-K08432080
238,0.0,O=C1NCCC[C@@H]1C(=O)N1CCCCC1,BRD-A56559575
239,0.0,NC[C@@H](N1CCOCC1)c1ccccc1,BRD-A92095922
240,0.0,NC(=O)c1c(ncc2c1NCC2)Cl,BRD-K86038427
241,0.0,NNC(=O)c1cccc(n1)C(F)(F)F,BRD-K06587063
242,0.0,C[C@H]1CN(C)[C@@H](C)C[C@@H]1N1NC(=O)C=C1N,BRD-A45431298
243,0.0,OC(=O)[C@@H](Cc1ccccc1)NC=O,BRD-A39804951
244,0.0,CC[C@@H](O)C#CCN1CCN(C)CC1,BRD-A80399353
245,0.0,OC(=O)CNc1ccc(cc1)C(=O)O,BRD-K29426772
246,0.0,CC(C)C12CN3CCN(CC(C3)C2=O)C1,BRD-K30154374
247,0.0,CN1CCN(CC1)C(=O)/C=C(/C)C(=O)O,BRD-K24546945
248,0.0,COC(=O)c1c(c(c2n1CCC2)C#N)N,BRD-K05306708
249,0.0,CN(C)C(=O)C[n+]1ccc(cc1)/C=N/O,BRD-K89636582
250,0.0,CN(C)/C=N/C(=S)N1CCOCC1,BRD-K57498089
251,0.0,CN1C(=O)[C@@H](O)N(C1=O)c1ccccc1,BRD-A57780658
252,0.0,CCN(CC)S(=O)(=O)c1nnc[nH]1,BRD-K01968991
253,0.0,O=C1CCC(=O)N1CNc1ccccn1,BRD-K47252325
254,0.0,NC(=O)c1ccc(cc1)CN1CCOCC1,BRD-K80439282
255,0.0,CNS(=O)(=O)c1ccc2c(c1)NC(=O)N2,BRD-K80016019
256,0.0,NC(=O)c1ccccc1NC(=O)CCC(=O)O,BRD-K52097339
257,0.0,Nc1ccc(cc1)OCc1ccccc1,BRD-K76744077
258,0.0,NC(=O)C1CCN(CC1)C(=O)c1ccco1,BRD-K37287368
259,0.0,NNC(=O)c1ccc(o1)CN1CCCCC1,BRD-K32245235
260,0.0,CCOC(=O)[C@H]1CNC(=S)N[C@@]1(C)O,BRD-A22796662
261,0.0,CCOC(=O)[C@H]1CC(=NO1)CC1OCCO1,BRD-A06401864
262,0.0,NCCCn1c2c(c3ccccc13)CCCC2,BRD-K54380757
263,0.0,O/N=C/C(=O)Nc1ccccc1C(=O)O,BRD-K69253960
264,0.0,CO[C@]1(COc2ccccc2O1)C(=O)NN,BRD-A02886970
265,0.0,COc1ccccc1C(=O)N1CCNCC1,BRD-K95772768
266,0.0,S=C(N1CCCC1)c1cccs1,BRD-K82766609
267,0.0,C(CN1CCOCC1)NCc1ccncc1,BRD-K48980609
268,0.0,C[C@@H]1[C@@H](O)[C@H](C[C@H]2COC[C@H]12)N(C)C,BRD-A54107725
269,0.0,Cc1c(sc2c1C(=O)N=CN2)C(=O)O,BRD-K38817857
270,0.0,O=C1C(=COc2ccccc21)c1nn[nH]n1,BRD-K48568010
271,0.0,O=C1OCc2cc(ccc21)-n1cnnn1,BRD-K50395925
272,0.0,OCCNC(=O)C1=Cc2ccccc2OC1=O,BRD-K98826935
273,0.0,Nc1nnc([nH]1)N[C@H]1CCCCNC1=O,BRD-A28630841
274,0.0,COc1cccc2ccc(nc12)Cl,BRD-K28207830
275,0.0,CN(CCc1ccc([n+](c1)[O-])C)C(=O)C,BRD-K11649188
276,0.0,CSc1nn(c2c1C(=O)N(C)N=C2)C,BRD-K95242391
277,0.0,CCCN1C(=O)N(C=C(C#N)C1=O)C1CC1,BRD-K41542612
278,0.0,COC(=O)CN1C(=O)COc2ccc(cc21)C,BRD-K89633997
279,0.0,CC/N=C/1\S[C@@H](CC(=O)N1CC)C(=O)N,BRD-A66339309
280,0.0,OC(=O)[C@H]1CCCN1C(=O)c1cccnc1,BRD-A42609176
281,0.0,NC(=O)c1nnn(c1N)Cc1ccccc1,BRD-K33304393
282,0.0,CC[C@@](C)(NC1=NNC(=O)NC1=O)C(=O)O,BRD-A44752748
283,0.0,CC[C@@H](N)CC12CC3CC(CC(C3)C2)C1,BRD-A25041289
284,0.0,Fc1ccccc1C(=O)N1CCNCC1,BRD-K91289705
285,0.0,CCOC(=O)[C@@H](C)N1N=Cn2cccc2C1=O,BRD-A79060692
286,0.0,O=CN1CCN(CC1)C(=O)c1ccccc1,BRD-K13079064
287,0.0,OC(=O)c1csc2c1CCCCC2,BRD-K96919778
288,0.0,Cc1cc(n(n1)C1=NNC(=S)N1N)C,BRD-K10859088
289,0.0,CN(C)c1cc[n+](cc1)C(=O)N1CCOCC1,BRD-K31923572
290,0.0,COc1nc(nc(n1)N1CCCCC1)C#N,BRD-K43177620
291,0.0,COc1ccc(cc1)[C@@H](N)c1ccccc1,BRD-A99589804
292,0.0,COc1ccccc1NCC(=O)NN,BRD-K23752185
293,0.0,CN(C)c1nc2cc(ccc2o1)Cl,BRD-K42808435
294,0.0,COC(=O)c1ccc2c(c1)NC(=O)CO2,BRD-K97568940
295,0.0,CC(N)(Cc1ccc2c(c1)OCO2)C(=O)O,BRD-A52753282
296,0.0,O=C(Nc1ccccc1)c1ccccc1,BRD-K72443974
297,0.0,c1ccc(cc1)-n1ncc2c1ncn1nnnc21,BRD-K15552027
298,0.0,COc1ccc(cc1)/C=C\1/NC(=O)NC1=O,BRD-K53885817
299,0.0,CC1=C(C)C(=O)N(C(=O)N1)C(C)(C)C,BRD-K18937438
300,0.0,NNC(=O)c1ccc2c(c1)C(=O)NNC2=O,BRD-K04546572
301,0.0,COc1ccc(cc1OC)S(=O)(=O)N,BRD-K57910624
302,0.0,CC[C@H]1Sc2ccccc2NC1=O,BRD-A82451428
303,0.0,COC(=O)Nc1c(cc(cc1C)C)C,BRD-K20768304
304,0.0,CN/1C(=N)NC(=O)\C1=C\c1cccnc1,BRD-K74653184
305,0.0,CNC(=O)Cn1cc2c(n1)CC[C@H](C)C2,BRD-A25314468
306,0.0,CCN1C(=C(SC1=S)C(=O)N)N,BRD-K50456152
307,0.0,NNC(=O)CNC(=O)c1ccccc1,BRD-K14516409
308,0.0,CCOC(=O)/C(=N/O)C1=NNC(=N)SC1,BRD-K67016505
309,0.0,CN1C(=O)/C(=C(/C#N)C(=O)N)c2ccccc21,BRD-K03235119
310,0.0,CN(C)/C=N/[C@H]1NC(=O)N(C)C(=N1)C1CC1,BRD-A61865718
311,0.0,C/C(=C/C(=O)O)/C=C/c1ccccc1,BRD-K47939769
312,0.0,COc1ccc(cc1)N1C[C@@H](CC1=O)C(=O)N,BRD-A44057484
313,0.0,O(c1ccccc1)c1cccc(c1)Oc1ccccc1,BRD-K60305584
314,0.0,CCN1C(=O)NC(=CC1=O)N1CCC(C)CC1,BRD-K42243670
315,0.0,CC[C@@H](SC1=NNC(=O)NC1=O)C(=O)O,BRD-A22111484
316,0.0,Cc1cc(nc(n1)SCC(=O)NN)C,BRD-K36678507
317,0.0,CCOC(=O)[C@H]1CNN=C1C(=O)OCC,BRD-A37493251
318,0.0,COC(=O)/C=C/1\SC2=NCCN2C1=O,BRD-K75254829
319,0.0,NCc1ccc(cc1)-c1nc2ccccc2o1,BRD-K40095385
320,0.0,NC(=NC(=O)N1CCOCC1)c1ccccc1,BRD-K91070281
321,0.0,Nc1ncnc2n(cnc12)[C@H]1CCCO1,BRD-A56987319
322,0.0,C[C@@H](Sc1nc(cc(n1)N)N)C(=O)O,BRD-A94898175
323,0.0,CCOC(=O)[C@H]1CN(C(=O)C1=O)C(C)(C)C,BRD-A83591127
324,0.0,Oc1ccccc1C(=O)N1CCOCC1,BRD-K41533261
325,0.0,S=C1NCN(CCc2ccccc2)CN1,BRD-K77291598
