matched_fragments,fragment_SMILES,length_of_fragment,matched_molecules,number_of_matched_molecules,fragment_scores,full_molecule_scores,average_molecule_score
78978,ClC1=CNC=C1N1C=CC=C1,11,[2059],1,0.0674497683066874,[0.2566208630800247],0.2566208630800247
78622,ClC1=CC=C(Cl)C2=C1NC=C2,11,[1074],1,0.0650876378640532,[0.2102197363972663],0.2102197363972663
78501,ClC1=CC2=C(C=C1Cl)N=CO2,11,[1899],1,0.1069834361085668,[0.2360423902980983],0.2360423902980983
17249,CC(CF)c1cccc(O)c1,11,[1602],1,0.0568834856851026,[0.2531305007636547],0.2531305007636547
17380,CC1(CC1)c2ccc(O)cc2,11,[2397],1,0.0874324665637686,[0.2484938617795705],0.2484938617795705
17406,CC1(CC1)c2cccc(O)c2,11,[2397],1,0.0744061570847407,[0.2484938617795705],0.2484938617795705
78270,CCOC1=CC=C(O)C=C1Cl,11,[3608],1,0.1010752255097031,[0.322574844956398],0.322574844956398
78269,CC(O)C1=CC=C(O)C=C1Cl,11,[2903],1,0.0873774207197129,[0.3892475329339504],0.3892475329339504
19984,CCCc1ccc(F)c(O)c1,11,[2874],1,0.0595116742420941,[0.2655436236411333],0.2655436236411333
20000,OCCc1ccc(O)c(F)c1,11,[2538],1,0.0586882573086768,[0.2702600084245204],0.2702600084245204
78255,CC(O)C1=CC=CC(Cl)=C1O,11,[3341],1,0.0664065217599272,[0.2771868571639061],0.2771868571639061
20674,OCCc1ccc(F)cc1O,11,[2519],1,0.0566711575724184,[0.2373755805194378],0.2373755805194378
31151,CCCc1c(O)cccc1O,11,[703],1,0.0723081157077103,[0.2066838458180427],0.2066838458180427
77945,CC=CC1=CC(O)=CC=C1Cl,11,[3049],1,0.0640273449476808,[0.2762630686163902],0.2762630686163902
77936,CC=CC1=CC=C(O)C(Cl)=C1,11,[1618],1,0.0573957649292424,[0.2783445756882429],0.2783445756882429
77934,CC(C)C1=CC=C(O)C=C1Cl,11,[2903],1,0.0510493114823475,[0.3892475329339504],0.3892475329339504
77932,CC=CC1=CC=C(O)C=C1Cl,11,[3049],1,0.0729714625049382,[0.2762630686163902],0.2762630686163902
21547,CC(C)c1ccc(O)cc1O,11,[3665],1,0.0529836929053999,[0.2010587565600872],0.2010587565600872
