Score,Grow_or_Mut,Algorithm_Params,Round,SMILES,hit,sa_score,max_tan_sim_to_abx,hepg2_pred_tox,primary_pred_tox,max_tan_sim_to_ts,tan_sim_to_orig_mol
modified_score,mutate,0_minsize_10_maxsize_-2_mininc_2_maxinc_2_radius,Round 2,Cc1ccc(C(=O)O)nc1C(=O)N[C@H]1CCN(c2ccc(Cl)cc2Cl)C1,0.724165507555008,2.762769098844558,0.481659651232712,0.0349953535944223,0.056069201300852,0.49076704545454547,0.5836501901140685
modified_score,mutate,0_minsize_10_maxsize_-2_mininc_2_maxinc_2_radius,Round 2,O=C(O)c1ccc(Cl)c(C(=O)N[C@H]2CCN(c3ccc(Cl)cc3Cl)C2)n1,0.8174192178249359,2.7258864065368655,0.4866989117291415,0.0507492541335523,0.0704897944349795,0.4903914590747331,0.5834127740705434
modified_score,mutate,0_minsize_10_maxsize_-2_mininc_2_maxinc_2_radius,Round 2,O=C(O)c1ccc(F)c(C(=O)N[C@H]2CCN(c3ccc(Cl)cc3Cl)C2)n1,0.7564906233549118,2.819849868075327,0.49280177187153934,0.0362351182382553,0.05748172623571,0.49511002444987773,0.5770676691729323
modified_score,mutate,0_minsize_10_maxsize_-2_mininc_2_maxinc_2_radius,Round 2,Nc1ccc(C(=O)O)nc1C(=O)N[C@H]1CCN(c2ccc(Cl)cc2Cl)C1,0.7859452605247498,2.81170756038302,0.48787878787878786,0.0437943629454821,0.0610459722578525,0.4864864864864865,0.588686481303931
modified_score,mutate,0_minsize_10_maxsize_-2_mininc_2_maxinc_2_radius,Round 2,O=C(O)c1cc(Br)cc(C(=O)N[C@H]2CCN(c3ccc(Cl)cc3Cl)C2)n1,0.7430629289150238,2.8444114065368655,0.47948560930802203,0.0597376351244747,0.0729922419413924,0.4776657060518732,0.6003956478733927
modified_score,mutate,0_minsize_10_maxsize_-2_mininc_2_maxinc_2_radius,Round 2,Cc1cc(C(=O)O)nc(C(=O)N[C@H]2CCN(c3ccc(Cl)cc3Cl)C2)c1,0.742270787358284,2.7534364065368653,0.46463414634146344,0.0391591129824519,0.0609079216606915,0.4934017595307918,0.6088264794383149
modified_score,mutate,0_minsize_10_maxsize_-2_mininc_2_maxinc_2_radius,Round 2,C=Cc1cc(C(=O)O)nc(C(=O)N[C@H]2CCN(c3ccc(Cl)cc3Cl)C2)c1,0.7461278414726258,2.9866708789112266,0.47598784194528876,0.0474910874385386,0.06551901018247,0.4960116026105874,0.6027531956735497
modified_score,mutate,0_minsize_10_maxsize_-2_mininc_2_maxinc_2_radius,Round 2,CCc1cc(C(=O)O)nc(C(=O)N[C@H]2CCN(c3ccc(Cl)cc3Cl)C2)c1,0.7337756431102753,2.801040109680459,0.47665251667677383,0.0395514112897217,0.0579107443336397,0.4924297043979812,0.5955165692007798
modified_score,mutate,0_minsize_10_maxsize_-2_mininc_2_maxinc_2_radius,Round 2,O=C(O)c1cc(Cl)cc(C(=O)N[C@H]2CCN(c3ccc(Cl)cc3Cl)C2)n1,0.7871631515026093,2.75010756038302,0.46472019464720193,0.07093290919438,0.0799449279904365,0.48043478260869565,0.6164658634538153
modified_score,mutate,0_minsize_10_maxsize_-2_mininc_2_maxinc_2_radius,Round 2,CNc1cc(C(=O)O)nc(C(=O)N[C@H]2CCN(c3ccc(Cl)cc3Cl)C2)c1,0.7765071803331375,2.865533648141996,0.47515151515151516,0.0539011684246361,0.0714577523991465,0.48103078024337864,0.6007827788649707
modified_score,mutate,0_minsize_10_maxsize_-2_mininc_2_maxinc_2_radius,Round 2,CSc1cc(C(=O)O)nc(C(=O)N[C@H]2CCN(c3ccc(Cl)cc3Cl)C2)c1,0.769942762851715,2.9242321096804567,0.4851425106124924,0.0464008606038987,0.0612872260389849,0.47680097680097683,0.5875
modified_score,mutate,0_minsize_10_maxsize_-2_mininc_2_maxinc_2_radius,Round 2,O=C(O)c1cc(F)cc(C(=O)N[C@H]2CCN(c3ccc(Cl)cc3Cl)C2)n1,0.7495687228441238,2.8228094834599435,0.47416413373860183,0.0419969748239964,0.0591540155699476,0.48201438848920863,0.5982318271119843
modified_score,mutate,0_minsize_10_maxsize_-2_mininc_2_maxinc_2_radius,Round 2,Nc1cc(C(=O)O)nc(C(=O)N[C@H]2CCN(c3ccc(Cl)cc3Cl)C2)c1,0.7938019120693207,2.8233748680753266,0.46439440048691416,0.0524064362980425,0.0698048491962254,0.4811320754716981,0.6112224448897795
modified_score,mutate,0_minsize_10_maxsize_-2_mininc_2_maxinc_2_radius,Round 2,NCc1cc(C(=O)O)nc(C(=O)N[C@H]2CCN(c3ccc(Cl)cc3Cl)C2)c1,0.7269494396448135,2.864806263526612,0.4722222222222222,0.0414514820091426,0.0609787900932133,0.49421128798842257,0.5968688845401174
modified_score,mutate,0_minsize_10_maxsize_-2_mininc_2_maxinc_2_radius,Round 2,O=C(O)c1cc(O)cc(C(=O)N[C@H]2CCN(c3ccc(Cl)cc3Cl)C2)n1,0.7105142885446548,2.8999094834599433,0.4731379731379731,0.0602141253184527,0.0722871982026845,0.48083875632682577,0.6053677932405567
modified_score,mutate,0_minsize_10_maxsize_-2_mininc_2_maxinc_2_radius,Round 2,CNc1c(Cl)ccc(N2CC[C@H](NC(=O)c3cccc(C(=O)O)n3)C2)c1Cl,0.7307518213987351,2.9995921096804583,0.4669926650366748,0.0495905769057571,0.0720470802858471,0.48,0.6181818181818182
modified_score,mutate,0_minsize_10_maxsize_-2_mininc_2_maxinc_2_radius,Round 2,O=C(O)c1cccc(C(=O)N[C@H]2CCN(c3ccc(Cl)c(O)c3Cl)C2)n1,0.7740062081813812,2.9221652526907107,0.47451456310679613,0.0388523629400879,0.0634609439410269,0.4824120603015075,0.5984329089128305
modified_score,mutate,0_minsize_10_maxsize_-2_mininc_2_maxinc_2_radius,Round 2,O=C(O)c1cccc(C(=O)N[C@H]2CCN(c3c(Cl)cc(Cl)cc3Br)C2)n1,0.7735830074548722,2.9201864065368657,0.47889022919179736,0.0378988104173913,0.0583428861107677,0.4907142857142857,0.5949855351976856
modified_score,mutate,0_minsize_10_maxsize_-2_mininc_2_maxinc_2_radius,Round 2,O=C(O)c1cccc(C(=O)N[C@H]2CCN(c3c(Cl)cc(Cl)cc3Cl)C2)n1,0.7848870453238487,2.8100383296137874,0.45157310302282544,0.0394620519597083,0.0626937192166224,0.47806691449814126,0.6385669125395153
modified_score,mutate,0_minsize_10_maxsize_-2_mininc_2_maxinc_2_radius,Round 2,CNc1cc(Cl)cc(Cl)c1N1CC[C@H](NC(=O)c2cccc(C(=O)O)n2)C1,0.7025896513462067,2.9403674942958435,0.4779456193353474,0.0469485195353627,0.062790713016875,0.4849416103257529,0.5891996142719382
modified_score,mutate,0_minsize_10_maxsize_-2_mininc_2_maxinc_2_radius,Round 2,O=C(O)c1cccc(C(=O)N[C@H]2CCN(c3c(F)cc(Cl)cc3Cl)C2)n1,0.8136078661680222,2.851878714229173,0.49224806201550386,0.0330032175872474,0.0559498182497918,0.4970607446113651,0.5913461538461539
modified_score,mutate,0_minsize_10_maxsize_-2_mininc_2_maxinc_2_radius,Round 2,O=C(O)c1cccc(C(=O)N[C@H]2CCN(c3c(O)cc(Cl)cc3Cl)C2)n1,0.7738830196857452,2.939761406536867,0.47732300884955753,0.0346331759355962,0.0566897281445562,0.49426934097421205,0.5940212150433944
modified_score,mutate,0_minsize_10_maxsize_-2_mininc_2_maxinc_2_radius,Round 2,Cc1cc(N2CC[C@H](NC(=O)c3cccc(C(=O)O)n3)C2)c(Cl)cc1Cl,0.7076252841949463,2.781086406536865,0.4758999389871873,0.0435994998086243,0.0635408175876364,0.49056603773584906,0.6049504950495049
modified_score,mutate,0_minsize_10_maxsize_-2_mininc_2_maxinc_2_radius,Round 2,CNc1cc(N2CC[C@H](NC(=O)c3cccc(C(=O)O)n3)C2)c(Cl)cc1Cl,0.7615057510137558,2.917968109680457,0.46286065070595456,0.0525752814486622,0.069873725157231,0.47514619883040937,0.6239754098360656
modified_score,mutate,0_minsize_10_maxsize_-2_mininc_2_maxinc_2_radius,Round 2,CSc1cc(N2CC[C@H](NC(=O)c3cccc(C(=O)O)n3)C2)c(Cl)cc1Cl,0.7753430569171905,2.99205980198815,0.48911729141475213,0.0437981270253658,0.0643893591128289,0.48688873139617295,0.5887404580152672
modified_score,mutate,0_minsize_10_maxsize_-2_mininc_2_maxinc_2_radius,Round 2,O=C(O)c1cccc(C(=O)N[C@H]2CCN(c3cc(O)c(Cl)cc3Cl)C2)n1,0.8073299300670623,2.8683114065368667,0.47023086269744835,0.043534893868491,0.0672335878945887,0.48375451263537905,0.6059405940594059
modified_score,mutate,0_minsize_10_maxsize_-2_mininc_2_maxinc_2_radius,Round 4,CCNC(=O)c1nc(C(=O)N[C@H]2CCN(c3ccc(Cl)cc3Cl)C2)cc(N)c1Cl,0.7600744765996933,2.9777618385944304,0.4794745484400657,0.1076233968138694,0.1114659423008561,0.48875562218890556,0.5777153558052435
modified_score,mutate,0_minsize_10_maxsize_-2_mininc_2_maxinc_2_radius,Round 4,CNC(=O)c1nc(C(=O)N[C@H]2CCN(c3ccc(Cl)cc3Cl)C2)cc(N)c1Cl,0.7805973643064499,2.9831269991984044,0.47754654983570644,0.1349213108420372,0.1317255605012178,0.4862568715642179,0.5804327375352775
modified_score,mutate,0_minsize_10_maxsize_-2_mininc_2_maxinc_2_radius,Round 4,NC(=O)c1nc(C(=O)N[C@H]2CCN(c3ccc(Cl)cc3Cl)C2)cc(N)c1Cl,0.8102345454692841,2.9987234194517676,0.471749862863412,0.1453263070434332,0.1556921252980828,0.47876061969015493,0.5887404580152672
modified_score,mutate,0_minsize_10_maxsize_-2_mininc_2_maxinc_2_radius,Round 4,Cc1nc(C(=O)N[C@H]2CCN(c3ccc(Cl)cc3Cl)C2)cc(N)c1Cl,0.7798003220558166,2.890349624821754,0.45953436807095344,0.172523745521903,0.1810207266360521,0.4670487106017192,0.6085657370517928
modified_score,mutate,0_minsize_10_maxsize_-2_mininc_2_maxinc_2_radius,Round 4,CCCc1nc(C(=O)N[C@H]2CCN(c3ccc(Cl)cc3Cl)C2)cc(N)c1Cl,0.7035252410173416,2.9960918019881504,0.4980737479361585,0.1951184287667274,0.1989832360297441,0.49942987457240595,0.5647382920110193
modified_score,mutate,0_minsize_10_maxsize_-2_mininc_2_maxinc_2_radius,Round 4,Nc1cc(C(=O)N[C@H]2CCN(c3ccc(Cl)cc3Cl)C2)nc(N)c1Cl,0.7728421509265899,2.9603088221461675,0.46843054720384847,0.1923800993710756,0.1992254264652729,0.4682955206515416,0.5945683802133851
modified_score,mutate,0_minsize_10_maxsize_-2_mininc_2_maxinc_2_radius,Round 4,O=C(N[C@H]1CCN(c2c(F)cc(Cl)cc2Cl)C1)c1cccc(Cl)c1O,0.7375222086906433,2.797845276995666,0.45895281189398834,0.1872013885527849,0.1980869121849537,0.4792243767313019,0.5553398058252427
modified_score,mutate,0_minsize_10_maxsize_-2_mininc_2_maxinc_2_radius,Round 4,O=C(N[C@H]1CCN(c2c(F)cc(Cl)cc2Cl)C1)c1ccc(Cl)cc1O,0.7065178900957108,2.7534151766612176,0.45068582625734815,0.1739201694726944,0.1736096270382404,0.47058823529411764,0.5770392749244713
modified_score,mutate,0_minsize_10_maxsize_-2_mininc_2_maxinc_2_radius,Round 4,Cc1cc(C(=O)N[C@H]2CCN(c3c(F)cc(Cl)cc3Cl)C2)c(Cl)cc1Cl,0.74161690056324,2.7952419861685023,0.462696335078534,0.1771274019032716,0.1875487457960844,0.4721115537848606,0.5659068384539148
modified_score,mutate,0_minsize_10_maxsize_-2_mininc_2_maxinc_2_radius,Round 4,Cc1ccc(N)c(C(=O)N[C@H]2CCN(c3c(F)cc(Cl)cc3Cl)C2)n1,0.7154527109861374,2.9502813973970046,0.49068721901091844,0.1285967765375971,0.1291071414947509,0.4944841012329656,0.5896946564885496
modified_score,mutate,0_minsize_10_maxsize_-2_mininc_2_maxinc_2_radius,Round 4,O=C(N[C@H]1CCN(c2c(F)cc(Cl)cc2Cl)C1)c1ccc(Cl)cc1Cl,0.736678204536438,2.6674646749889774,0.44834437086092715,0.1732686523348093,0.1811359763145446,0.4576612903225806,0.5793814432989691
modified_score,mutate,0_minsize_10_maxsize_-2_mininc_2_maxinc_2_radius,Round 4,O=C(N[C@H]1CCN(c2c(F)cc(Cl)cc2Cl)C1)c1cccc(Cl)c1Cl,0.7697908854484559,2.7323048087682427,0.4518855656697009,0.1769082807004451,0.1873707093298435,0.45915678524374176,0.5608308605341247
modified_score,mutate,0_minsize_10_maxsize_-2_mininc_2_maxinc_2_radius,Round 4,O=C(CCSc1ccccc1Cl)N[C@H]1CCN(c2c(F)cc(Cl)cc2Cl)C1,0.7430746471881866,2.850567899154141,0.43870967741935485,0.1565572937950491,0.174525499343872,0.44730941704035876,0.5096642929806714
