Structure,ID,Mol Weight,Smiles,query_ID
,PV-002350418977,342.4,CSC1=C(F)C=C(NC(=O)NC2COC3(CCCC3)C2)C=C1F,450614896
,PV-002195019716,330.39,CC(C)(C)SC1=C(F)C=C(NC(=O)N[C@H]2CCOC2)C=C1F,450614896
,PV-004464439397,386.46,CC(C)(C)SC1=C(F)C=C(NC(=O)NC23CCC(CO)(C2)OC3)C=C1F,450614896
,PV-002086944698,356.31,CSC1=C(F)C=C(NC(=O)NC2(CCOC2)C(F)(F)F)C=C1F,450614896
,PV-002500856865,372.43,CC(C)(C)SC1=C(F)C=C(NC(=O)NC2C(=O)OCC2(C)C)C=C1F,450614896
,PV-006732463492,358.4,"CO[C@@H]1[C@H](COC11CCC1)NC(=O)NC1=CC(F)=C(SC)C(F)=C1 |&1:2,3,c:24,t:16,19|",450614896
,Z2950451767,328.38,"CSC1=C(F)C=C(NC(=O)N[C@@H]2CCO[C@H]2C2CC2)C=C1F |&1:11,15,c:2,21,t:5|",450614896
,Z2295658329,346.39,"CC(C)(C)SC1=C(F)C=C(NC(=O)N[C@@H]2COC[C@H]2O)C=C1F |&1:14,18,c:5,21,t:8|",450614896
,Z5624399765,346.39,CC(C)(C)SC1=C(F)C=C(NC(=O)N[C@H]2COC[C@@H]2O)C=C1F,450614896
,Z2840601339,346.39,"CC(C)(C)SC1=C(F)C=C(NC(=O)N[C@@H]2COC[C@@H]2O)C=C1F |&1:14,18,c:5,21,t:8|",450614896
,Z3592517609,397.48,"CSC1=C(F)C=C(NC(=O)N2CC3(CCN(C)CC3)[C@@H]3COC[C@H]23)C=C1F |&1:19,23,c:2,27,t:5|",450614896
,Z2295660078,384.44,CC(C)(C)SC1=C(F)C=C(NC(=O)N2CCCC22CCOC2=O)C=C1F,450614896
,Z2838500945,330.35,CSC1=C(F)C=C(NC(=O)NC2C(=O)OCC2(C)C)C=C1F,450614896
,Z1657168111,302.34,CSC1=C(F)C=C(NC(=O)NC2CCOC2C)C=C1F,450614896
,Z3592516081,302.34,"CSC1=C(F)C=C(NC(=O)N[C@@H]2CCO[C@@H]2C)C=C1F |&1:11,15,c:2,18,t:5|",450614896
,Z2295658428,356.39,CC(C)(C)SC1=C(F)C=C(NC(=O)N2CC3CC2C(=O)O3)C=C1F,450614896
,Z2293283322,342.4,"CSC1=C(F)C=C(NC(=O)N2CC(C)(C)[C@@H]3COC[C@H]23)C=C1F |&1:15,19,c:2,22,t:5|",450614896
,Z3592515907,344.38,CSC1=C(F)C=C(NC(=O)NC23CC(CO)(C2)OC3C)C=C1F,450614896
,Z2709992786,328.38,CSC1=C(F)C=C(NC(=O)NC2COC(C2)C2CC2)C=C1F,450614896
,Z2709992751,398.43,"CSC1=C(F)C=C(NC(=O)N(C)[C@@H]2COC[C@@H]2OC2=CN(C)N=C2)C=C1F |&1:12,16,c:2,23,26,t:5,19|",450614896
,Z2709992408,328.38,CSC1=C(F)C=C(NC(=O)NC23CC2COC3(C)C)C=C1F,450614896
,Z2295658612,386.46,CN(C1CC(C)(C)OC1=O)C(=O)NC1=CC(F)=C(SC(C)(C)C)C(F)=C1,450614896
,Z2709992836,370.37,"CSC1=C(F)C=C(NC(=O)N[C@@H]2CCO[C@@H]2C2=NC(C)=NO2)C=C1F |&1:11,15,c:2,20,24,t:5,17|",450614896
,Z2950452171,340.39,"CSC1=C(F)C=C(NC(=O)N[C@]23C[C@H]2COC32CCC2)C=C1F |&1:11,13,c:2,23,t:5|",450614896
,Z3175338290,318.34,"CSC1=C(F)C=C(NC(=O)N[C@@H]2COC[C@@H]2CO)C=C1F |&1:11,15,c:2,19,t:5|",450614896
,Z2293283734,316.37,CSC1=C(F)C=C(NC(=O)NC2CCOC2(C)C)C=C1F,450614896
,Z3841425608,342.4,"CSC1=C(F)C=C(NC(=O)N2CCC[C@@]3(C)COC[C@@H]23)C=C1F |&1:14,19,c:2,22,t:5|",450614896
,Z4316338963,300.32,"CSC1=C(F)C=C(NC(=O)N2C[C@@H]3COC[C@H]23)C=C1F |&1:12,16,c:2,19,t:5|",450614896
,Z1657180872,302.34,CSC1=C(F)C=C(NC(=O)N(C)C2CCOC2)C=C1F,450614896
,Z5428837639,302.34,CSC1=C(F)C=C(NC(=O)N(C)[C@@H]2CCOC2)C=C1F,450614896
,Z1889384243,346.39,COCCC1(CCOC1)NC(=O)NC1=CC(F)=C(SC)C(F)=C1,450614896
,Z1892028119,314.31,CSC1=C(F)C=C(C=C1F)N1C(=O)NC2(CCOC2)C1=O,450614896
,Z2838500881,316.32,CSC1=C(F)C=C(NC(=O)NC2CC(C)OC2=O)C=C1F,450614896
,Z3592515793,370.41,CSC1=C(F)C=C(NC(=O)NC23CC(CO)(C2)OC32CCC2)C=C1F,450614896
,Z2439255249,302.34,CSC1=C(F)C=C(NC(=O)NC2COC(C)C2)C=C1F,450614896
,Z2709992645,381.4,"CSC1=C(F)C=C(NC(=O)N[C@@H]2CCO[C@H]2C2=CNC(=O)C=C2)C=C1F |&1:11,15,c:2,22,25,t:5,17|",450614896
,Z2415805323,368.4,"CSC1=C(F)C=C(NC(=O)N[C@@H]2CCO[C@H]2C2=CN(C)N=C2)C=C1F |&1:11,15,c:2,21,24,t:5,17|",450614896
,Z4264303119,344.38,"CSC1=C(F)C=C(NC(=O)N(C2CC2)[C@@H]2COC[C@H]2O)C=C1F |&1:14,18,c:2,22,t:5|",450614896
,Z2622658257,316.37,CCC1COCC1NC(=O)NC1=CC(F)=C(SC)C(F)=C1,450614896
,Z3592515908,372.39,CSC1=C(F)C=C(NC(=O)NC23CC(CO)(C2)OC32COC2)C=C1F,450614896
,Z1672349141,318.34,CSC1=C(F)C=C(NC(=O)NC2(CO)CCOC2)C=C1F,450614896
,Z2312654631,316.37,"CC[C@@H]1OCC[C@H]1NC(=O)NC1=CC(F)=C(SC)C(F)=C1 |&1:2,6,c:20,t:12,15|",450614896
,Z2624224469,388.43,"COC(=O)[C@@H]1OCC[C@@H]1NC(=O)NC1=CC(F)=C(SC(C)(C)C)C(F)=C1 |&1:4,8,c:25,t:14,17|",450614896
,Z2190162462,316.37,CCN(C1CCOC1)C(=O)NC1=CC(F)=C(SC)C(F)=C1,450614896
,Z1845756918,328.38,CSC1=C(F)C=C(NC(=O)N(CC=C)C2CCOC2)C=C1F,450614896
,Z3592516129,356.39,CSC1=C(F)C=C(NC(=O)NC23CC(C)(C2)OC32COC2)C=C1F,450614896
,Z2950451923,302.34,CSC1=C(F)C=C(NC(=O)NC2COCC2C)C=C1F,450614896
,Z1657177342,344.42,CSC1=C(F)C=C(NC(=O)NC2CC(C)(C)OC2(C)C)C=C1F,450614896
,Z4083481592,346.39,CSC1=C(F)C=C(NC(=O)NC2(CCOC2)C(C)(C)O)C=C1F,450614896
,Z4403173522,332.32,"CSC1=C(F)C=C(NC(=O)N[C@@H]2[C@H](CO)COC2=O)C=C1F |&1:11,12,c:2,20,t:5|",450614896
,Z2293283732,314.31,CSC1=C(F)C=C(NC(=O)N2CC3CC2C(=O)O3)C=C1F,450614896
,Z2710569856,342.4,CC(C)(C)SC1=C(F)C=C(NC(=O)N2C[C@@H]3C[C@H]2CO3)C=C1F,450614896
,Z4001338831,382.43,"CC(C)(C)SC1=C(F)C=C(C=C1F)N1C(=O)[C@@H]2C[C@@H]3OCC[C@@H]3N2C1=O |&1:16,18,22,c:5,8,10|",450614896
,Z4949413582,344.38,CSC1=C(F)C=C(NC(=O)NC23CCC(CO)(C2)OC3)C=C1F,450614896
,Z3592515850,300.32,CSC1=C(F)C=C(NC(=O)NC23CC(C2)OC3)C=C1F,450614896
,Z2622658941,316.37,CSC1=C(F)C=C(NC(=O)NC2COC(C)(C)C2)C=C1F,450614896
,Z2950452931,314.35,CSC1=C(F)C=C(NC(=O)N2CC3(C)CC2CO3)C=C1F,450614896
,Z3175338343,300.32,CSC1=C(F)C=C(NC(=O)NC2COCC2=C)C=C1F,450614896
,Z3349801708,368.4,CC(C)(C)SC1=C(F)C=C(C=C1F)N1C(=O)N2CC3CC2(CO3)C1=O,450614896
,Z3694503579,300.32,CSC1=C(F)C=C(NC(=O)N2C[C@H]3C[C@@H]2CO3)C=C1F,450614896
,Z2709992857,300.32,CSC1=C(F)C=C(NC(=O)N2C[C@@H]3C[C@H]2CO3)C=C1F,450614896
